dataSet,counter,obj_acc,obj_auc,obj_rmse,obj_mae,sub_rmse,sub_mae
FrcSub,0,0.8395522388059702,0.9067163233102097,0.346447489878738,0.26016695044653265,,
FrcSub,1,0.8414179104477612,0.90658300221619,0.34641966739503877,0.26010216790626745,,
FrcSub,2,0.8414179104477612,0.9066267140502948,0.3463881499692335,0.2603649801857867,,
FrcSub,3,0.8381529850746269,0.906862757954461,0.34631442491902314,0.2604249771119707,,
FrcSub,4,0.8390858208955224,0.9066380791271622,0.34648745740855497,0.2605875414377426,,
FrcSub,5,0.8423507462686567,0.9068072439251478,0.3462956906475641,0.26038578003401686,,
FrcSub,6,0.8409514925373134,0.9065016982047549,0.3464422413520223,0.2604144401596373,,
FrcSub,7,0.8404850746268657,0.9066118520266992,0.34645361711737527,0.2603608987740686,,
FrcSub,8,0.8409514925373134,0.9066608092808965,0.34634865347632704,0.2600696922076602,,
FrcSub,9,0.8386194029850746,0.906782765298049,0.34632482168175893,0.2603502349603101,,
Math1,0,0.703278428888185,0.7865541651428861,0.431572433378061,0.37524370717814065,0.20080293419626113,0.08323545924330492
Math1,1,0.7051789673740894,0.7865268907789691,0.43151771965570557,0.37521581922529534,0.20042589527449411,0.08351377479300859
Math1,2,0.7027241051631296,0.7863705963789329,0.4316498507613297,0.374805198413114,0.2006514149875373,0.08353020125581834
Math1,3,0.7042286981311372,0.7869495681454499,0.43137918698631766,0.3755241232494898,0.20053663875357072,0.0835205814060802
Math1,4,0.7035951853025024,0.7867338698295228,0.43147660664938386,0.37502137827093274,0.20087322076187017,0.08323301975316698
Math1,5,0.7042286981311372,0.7865929439188143,0.4315869908274068,0.3750512651573807,0.20031855749225816,0.08307425943128097
Math1,6,0.705574912891986,0.7871766705077434,0.43132189780514935,0.37568485176936056,0.20037971651023068,0.08359183495985929
Math1,7,0.7052581564776687,0.7869128845023525,0.4314278762350793,0.3755543780539142,0.20076987083675518,0.08375715943415024
Math1,8,0.7043078872347165,0.7868799645709275,0.4314435848850089,0.3753308242637409,0.2004846269165056,0.08358339323683325
Math1,9,0.7039911308203991,0.786740657056238,0.4314773076399627,0.37501396402662945,0.20042855701203433,0.08394650857261397
Math2,0,0.7200897507813127,0.7959720203434204,0.42626680362110664,0.36654901236762294,0.315715901768935,0.19939498723105178
Math2,1,0.7196890776504528,0.7959109532590182,0.4262608416166157,0.36597164505053054,0.3156118109675418,0.19942767016663468
Math2,2,0.7200897507813127,0.7961062894703244,0.4261420146184107,0.36545394077077326,0.3160195220423799,0.19861396328688627
Math2,3,0.7202500200336566,0.7961906718890923,0.4261267075633575,0.36570844596932633,0.3157920532576271,0.19913920535826987
Math2,4,0.7197692122766247,0.7960038484555049,0.4262229020268091,0.36586308605256673,0.3155401370114387,0.19908766974177844
Math2,5,0.7205705585383444,0.796027582236702,0.4262204448663242,0.36614288717380844,0.3153319406688549,0.19963157325883363
Math2,6,0.7192082698934209,0.7961273425765101,0.4261994917114705,0.36646930048189524,0.3152511577697381,0.20204678305303153
Math2,7,0.7205705585383444,0.7960763182160525,0.4261758437822064,0.3663012681346677,0.31552864163212485,0.20029620002597315
Math2,8,0.7195288083981088,0.7961137822838922,0.4261610368896851,0.3657974541395955,0.3152459655323712,0.2014637942483744
Math2,9,0.7210513662953763,0.7961818714291775,0.4261426919559565,0.3657401858488121,0.31588139320427117,0.1981629945129814
ASSIST_0910,0,0.7392395982783357,0.7840833098263469,0.41781314221963267,0.3345906506238072,,
ASSIST_0910,1,0.739293400286944,0.7842046453360094,0.4177814795784015,0.33458983613149074,,
ASSIST_0910,2,0.7381276901004304,0.7833338427550579,0.41824005433108147,0.3350026781510574,,
ASSIST_0910,3,0.7383608321377332,0.7835748351355949,0.4181664476139755,0.3347373109627709,,
ASSIST_0910,4,0.7395265423242467,0.7843157163356402,0.41768730629911177,0.3343289452722868,,
ASSIST_0910,5,0.738719512195122,0.7839647542733391,0.4180104342034627,0.334580082917276,,
ASSIST_0910,6,0.739454806312769,0.7841610320109165,0.4178336102292878,0.3345088602596369,,
ASSIST_0910,7,0.7401183644189383,0.7835760374135241,0.4180119880391574,0.33456299262159067,,
ASSIST_0910,8,0.74006456241033,0.7840717086619646,0.4177227136097362,0.33444874753543863,,
ASSIST_0910,9,0.7385043041606887,0.7842100004852481,0.4178188514163888,0.33448656749892564,,
ASSIST_2017,0,0.7321618590204481,0.8047415875132851,0.4215896290039256,0.3588721810560896,,
ASSIST_2017,1,0.7322049984182221,0.804559435413959,0.4216728333932462,0.35882630662230364,,
ASSIST_2017,2,0.731974921630094,0.8048037496632223,0.4215596883709145,0.35888842740433236,,
ASSIST_2017,3,0.731960541830836,0.8048485537974954,0.42152144148850434,0.3586801790031746,,
ASSIST_2017,4,0.731629806447902,0.804888161591169,0.4215236889256761,0.35869218269650976,,
ASSIST_2017,5,0.7323200368122861,0.804602984635343,0.4216476679583581,0.3587782023925517,,
ASSIST_2017,6,0.731989301429352,0.8044366798603684,0.42173962892467337,0.35901727180665827,,
ASSIST_2017,7,0.73157228725087,0.8046070346006079,0.421658878430185,0.35888140742809754,,
ASSIST_2017,8,0.7322481378159961,0.8048282572747809,0.4215470607225195,0.35879769565544856,,
ASSIST_2017,9,0.73171608524345,0.804768627667785,0.4215662709960812,0.3587285679511156,,
